iter	Passed	Remaining
0	2243	2241233
1	4316	2153736
2	6366	2115784
3	8420	2096786
4	10525	2094652
5	12556	2080199
6	14587	2069391
7	16623	2061311
8	18674	2056217
9	20769	2056206
10	22821	2051828
11	24861	2046939
12	26911	2043226
13	28979	2040963
14	31071	2040379
15	33119	2036831
16	35174	2033916
17	37208	2029912
18	39262	2027167
19	41334	2025393
20	43398	2023197
21	45454	2020660
22	47481	2016929
23	49538	2014579
24	51605	2012596
25	53725	2012628
26	55772	2009880
27	57812	2006933
28	59867	2004524
29	61927	2002331
30	64051	2002118
31	66099	1999508
32	68134	1996561
33	70194	1994360
34	72232	1991541
35	74321	1990158
36	76372	1987739
37	78412	1985061
38	80469	1982855
39	82528	1980680
40	84622	1979329
41	86691	1977380
42	88734	1974853
43	90791	1972660
44	92836	1970207
45	94915	1968458
46	96976	1966355
47	99023	1963958
48	101100	1962177
49	103136	1959594
50	105191	1957381
51	107270	1955624
52	109313	1953202
53	111354	1950758
54	113382	1948114
55	115431	1945837
56	117512	1944104
57	119557	1941781
58	121602	1939458
59	123645	1937112
60	125715	1935200
61	127808	1933615
62	129861	1931430
63	131913	1929230
64	133957	1926926
65	136012	1924785
66	138088	1922930
67	140137	1920708
68	142184	1918464
69	144247	1916425
70	146307	1914363
71	148374	1912380
72	150459	1910628
73	152507	1908407
74	154549	1906110
75	156599	1903922
76	158627	1901475
77	160748	1900133
78	162833	1898351
79	164879	1896119
80	166929	1893923
81	168986	1891828
82	171100	1890349
83	173136	1888012
84	175193	1885903
85	177245	1883745
86	179298	1881604
87	181397	1879939
88	183444	1877732
89	185505	1875664
90	187539	1873329
91	189593	1871204
92	191685	1869446
93	193722	1867156
94	195780	1865064
95	197821	1862817
96	199869	1860643
97	201922	1858510
98	203997	1856587
99	206053	1854483
100	208092	1852228
101	210149	1850141
102	212186	1847874
103	214291	1846200
104	216347	1844100
105	218385	1841856
106	220446	1839803
107	222476	1837491
108	224574	1835739
109	226639	1833721
110	228686	1831553
111	230745	1829483
112	232779	1827215
113	234865	1825360
114	236914	1823209
115	238951	1820977
116	241024	1819016
117	243082	1816940
118	245179	1815154
119	247230	1813023
120	249280	1810889
121	251347	1808879
122	253393	1806718
123	255474	1804806
124	257561	1802931
125	259609	1800785
126	261674	1798754
127	263723	1796619
128	265784	1794560
129	267888	1792789
130	269974	1790897
131	272033	1788825
132	274073	1786630
133	276132	1784555
134	278235	1782768
135	280285	1780635
136	282320	1778412
137	284345	1776131
138	286387	1773951
139	288459	1771965
140	290544	1770053
141	292623	1768103
142	294663	1765922
143	296729	1763893
144	298806	1761928
145	300853	1759786
146	302893	1757608
147	304960	1755580
148	307014	1753482
149	309088	1751501
150	311188	1749665
151	313220	1747442
152	315275	1745348
153	317322	1743214
154	319367	1741069
155	321504	1739422
156	323568	1737374
157	325631	1735329
158	327677	1733186
159	329717	1731015
160	331855	1729357
161	333910	1727263
162	335990	1725302
163	338033	1723146
164	340085	1721040
165	342178	1719135
166	344218	1716970
167	346271	1714868
168	348342	1712853
169	350408	1710815
170	352475	1708785
171	354519	1706640
172	356582	1704587
173	358605	1702346
174	360667	1700291
175	362711	1698149
176	364776	1696107
177	366861	1694160
178	368921	1692092
179	370985	1690043
180	373052	1688011
181	375155	1686139
182	377200	1684002
183	379233	1681818
184	381297	1679771
185	383343	1677643
186	385455	1675804
187	387500	1673672
188	389534	1671494
189	391610	1669496
190	393643	1667315
191	395768	1665526
192	397814	1663401
193	399862	1661283
194	401922	1659217
195	403961	1657066
196	406047	1655107
197	408094	1652990
198	410148	1650897
199	412202	1648811
200	414269	1646771
201	416354	1644806
202	418414	1642739
203	420459	1640618
204	422500	1638477
205	424541	1636338
206	426614	1634325
207	428704	1632374
208	430760	1630296
209	432826	1628250
210	434898	1626233
211	436951	1624139
212	439070	1622293
213	441127	1620217
214	443167	1618075
215	445218	1615980
216	447264	1613861
217	449343	1611864
218	451402	1609794
219	453445	1607672
220	455505	1605605
221	457574	1603571
222	459680	1601665
223	461756	1599655
224	463802	1597542
225	465872	1595509
226	467920	1593404
227	469989	1591367
228	472063	1589349
229	474102	1587212
230	476150	1585108
231	478189	1582971
232	480244	1580890
233	482368	1579034
234	484431	1576980
235	486498	1574935
236	488541	1572816
237	490589	1570712
238	492713	1568850
239	494752	1566715
240	496839	1564735
241	498892	1562646
242	500947	1560564
243	503046	1558619
244	505103	1556542
245	507146	1554425
246	509193	1552319
247	511264	1550285
248	513370	1548359
249	515439	1546319
250	517500	1544253
251	519535	1542112
252	521594	1540044
253	523662	1538000
254	525707	1535891
255	527745	1533759
256	529788	1531644
257	531878	1529667
258	533939	1527602
259	536064	1525722
260	538129	1523669
261	540197	1521625
262	542244	1519522
263	544286	1517405
264	546412	1515520
265	548492	1513510
266	550547	1511428
267	552592	1509321
268	554630	1507194
269	556761	1505318
270	558796	1503181
271	560835	1501058
272	562891	1498982
273	564967	1496958
274	567091	1495059
275	569157	1493006
276	571224	1490956
277	573311	1488959
278	575393	1486947
279	577487	1484969
280	579560	1482933
281	581635	1480900
282	583703	1478852
283	585749	1476748
284	587821	1474709
285	589870	1472614
286	591921	1470522
287	593961	1468404
288	596009	1466307
289	598053	1464199
290	600172	1462276
291	602228	1460197
292	604286	1458125
293	606358	1456084
294	608431	1454047
295	610546	1452110
296	612603	1450034
297	614652	1447940
298	616717	1445882
299	618767	1443790
300	620873	1441828
301	622920	1439729
302	624994	1437694
303	627048	1435610
304	629100	1433523
305	631200	1431545
306	633252	1429458
307	635300	1427363
308	637374	1425326
309	639421	1423227
310	641503	1421208
311	643550	1419111
312	645612	1417047
313	647664	1414960
314	649708	1412859
315	651778	1410811
316	653917	1408914
317	655979	1406849
318	658044	1404790
319	660112	1402739
320	662197	1400724
321	664314	1398773
322	666390	1396737
323	668440	1394647
324	670484	1392545
325	672530	1390446
326	674629	1388456
327	676700	1386410
328	678754	1384329
329	680801	1382233
330	682855	1380151
331	684964	1378181
332	687021	1376105
333	689054	1373983
334	691121	1371927
335	693172	1369841
336	695266	1367839
337	697317	1365752
338	699400	1363726
339	701498	1361731
340	703582	1359709
341	705699	1357748
342	707766	1355692
343	709812	1353595
344	711908	1351594
345	713999	1349582
346	716066	1347525
347	718152	1345503
348	720205	1343420
349	722254	1341329
